location,mean_lat,mean_lon,listing_count
aisha manzil,24.927625785531916,67.0645301874468,47
askari 7,33.56139745217392,73.06210138804347,46
mustafa town,31.495053217333332,74.27329951733333,45
amir khusro,24.880713999999998,67.08047691111112,45
alfalah town,31.482511267999996,74.4192138031111,45
new muslim town,31.511828682727273,74.31309123522728,44
sukh chayn gardens,31.391930227272727,74.16006086363636,44
nishat colony,31.49609111627907,74.393234,43
airline housing society,31.443218,74.266394,42
gulshan e madina,31.424988436904762,73.11679924309524,42
awan town,31.907122415476188,74.01800667404761,42
dastgir colony,24.925589301666665,67.0771357342857,42
valencia gardens,31.350448,73.059597,42
zamzama,24.822218123658537,67.04013448707317,41
uet housing society,31.40847802902439,74.2721002097561,41
sangar town,33.61265075609756,73.11938263414633,41
super town,31.492577999999998,74.373529,41
manzoor colony,25.501818961219513,67.7684200302439,41
naval housing scheme,24.8397082245,67.05689492274999,40
dream avenue lahore,31.402889181750005,74.23614281900001,40
7th avenue,33.71852869675,73.0711268645,40
hamza town,31.40592397775,74.35788193025,40
ghalib city,31.421539000000003,73.14799,40
kashmir road,28.752352623333334,70.63198830358975,39
m. a. jinnah road,25.02496179,67.16639133871796,39
sami town,31.567120000000003,74.413107,39
karakoram diplomatic enclave,33.724426,73.120331,39
rasool park,31.50637067128205,73.97852869333333,39
rizwan garden scheme,31.584568,74.47377907894736,38
amin town,31.442454197105263,73.12801230526316,38
formanites housing scheme,31.44707361605263,74.41373008921053,38
dhok mangtal,33.62180254,73.04135799,38
palm villas,31.587007578947368,74.49510073684212,38
punjab govt servant society,31.40524519789474,74.16320033736842,38
gulshan-e-haram,31.364194000000005,73.062459,37
caltex road,33.55369091135135,73.06821821918918,37
hajvery housing scheme,31.573160999999995,74.448981,37
shadman 2,28.4303033075,70.9015868513889,36
zaheer villas,31.416929055555556,74.28738305555557,36
tarnol,33.63362173805555,72.88590177027777,36
golimar,24.89131367722222,67.00811086138889,36
scheme 45,25.046555490285712,67.10531782914286,35
chak shahzad,33.65999298428571,73.14718880628571,35
ali pur,33.644625008285715,73.17399565314287,35
habibullah road,31.558620576000003,74.34391226371427,35
sher zaman colony,33.564739509714286,73.04521937314286,35
shehzad town,33.67185255457142,73.14030288685714,35
al najaf colony,31.40288,73.122153,35
ali town,32.374289193529414,73.52511645441176,34
lahore motorway city,31.643503147058823,74.20992782352941,34
ayub colony,32.85713932060606,73.0858869360606,33
shams abad,33.65148948727273,73.08068388090909,33
faisal town - f-18,33.61640495060606,72.85960234090909,33
tench bhata,33.58462472363637,73.03544240696971,33
jhangi syedan,33.62371324090908,72.94382086969698,33
shalimar link road,31.572532163636364,74.38098781757576,33
asghar mall road,33.62758669303031,73.06048002151516,33
sharaqpur road,31.485627,74.121572,33
bilal colony,33.646551,73.086988,33
korangi road,24.84186429875,67.1458749940625,32
dhoke banaras road,33.59247,73.01495,32
emaar canyon views,33.5193292740625,73.1849725309375,32
umer garden,31.40925,73.12444290625,32
iep engineers town,31.404572451612903,74.29153777419354,31
saidpur road,33.638595138709675,73.0631981935484,31
gosha-e-ahbab,31.48415973322581,74.27717416258064,31
zaitoon - new lahore city,31.347818161290324,74.14288064516128,31
saddar,33.453411908387096,73.04716917354838,31
punjab colony,24.830948,67.04732906451612,31
faisal colony,33.57962400580645,73.03837174935482,31
mangral town,33.61372606933334,73.11836060266667,30
g-16,33.62486916666667,72.91457199999999,30
upper mall,31.542114,74.35589786666667,30
d ground,31.406203144000003,73.10735004366667,30
g-7,33.70509493266666,73.06909992966666,30
elite town,31.342062633333335,74.3714763,30
makkah garden,31.508298,73.06784200000001,29
morgah,33.545083643103446,73.07352391103448,29
islamabad - murree expressway,33.798994650344824,73.29513898310344,29
garhi shahu,31.566191711724137,74.34386910793104,29
ideal town,31.473263,73.077405,29
lahore - sheikhupura - faisalabad road,31.462664809655173,73.15928314413793,29
swan garden,33.564829458214284,73.15696111785714,28
rehmanpura (ferozpur road),31.521773718928568,74.31992488857144,28
commercial market,33.58610903571429,73.08835889285714,28
kashmir highway,33.62243200428571,72.92965929607143,28
taramrri,33.64177271964285,73.16500717178572,28
salamatpura,31.582849125,74.41700905178571,28
shadman 1,31.5374496175,74.33070453392858,28
mansoorah,31.49239520892857,74.26535822321429,28
sunfort gardens,31.446239,74.252808,28
etawa society,25.003900964285712,67.12267096428572,28
tarlai,33.640276148148146,73.15392462962963,27
yousaf colony,33.583519296296295,73.10306777777778,27
park road,33.66700477074074,73.15038815555556,27
t & t aabpara housing society,31.413532034444444,74.24015710148149,27
punjab govt. servants housing foundation,31.367584999999995,73.137177,27
prime homes 1,31.427708,74.246722,27
janjua town,33.544556,73.056127,27
mateen avenue,31.441992,74.291389,27
askari 4,33.58439696296296,73.0798048148148,27
khanna pul,33.62971102888889,73.11214544185185,27
clifton colony,31.520824962962962,74.30242481481481,27
gulshan-e-iqbal,33.475744405,73.02840544615385,26
hassan town,31.50555812346154,74.265211155,26
munawar colony,33.55048,73.05978688461538,26
gajju matah,31.386622712307695,74.36533854615385,26
sanda,31.562839694999997,74.28574194346155,26
ghulam mohammad abad,31.441457327307692,73.04371494423077,26
lawrence road,31.554639615384612,74.32535507692309,26
muslimabad society,24.879183456538463,67.04928003615385,26
chakra,33.58932,72.979099,26
tipu sultan road,24.87587733,67.08508139846154,26
chinar bagh,31.323638919999997,74.24461832,25
thokar niaz baig,31.4713752092,74.24135912319998,25
new chauburji park,31.5498856776,74.2954401056,25
new super town,31.495666468,74.37733528279999,25
shakrial,33.6341051824,73.10007945160001,25
capital smart city,33.507121039999994,72.87568616,25
mansoorabad,31.434984983599996,73.1178007324,25
khayaban-e-ittehad road,24.8128672508,67.0760443792,25
9th avenue,33.6904478092,73.04511508600001,25
blue area,33.713837559999995,73.06159336,25
dhok kala khan,33.653209,73.089802,25
baloch colony,24.867466748400002,67.08181295039999,25
al faisal town,31.550456957599998,74.4040143948,25
shalimar town,31.585673100416667,74.38541783125,24
murree road,33.691633615,73.12761921583333,24
kamahan road,31.45461801875,74.36824899958334,24
nemat colony no 1,31.411524,73.123183,24
khayaban gardens,31.473328,73.089108,24
rehan garden,31.345320514583335,74.37897557708334,24
alipur farash,33.65069,73.202934,24
saima luxury homes,24.859035957499998,67.14424286083333,24
eden avenue extension,31.499481,74.418277,24
ali view park,31.494262043478262,74.40018691304348,23
sadiqa abad,33.63238,73.08023191304348,23
peco road,31.465462757391304,74.34064385652174,23
al-hamad colony (ait),31.522626999999996,74.30465,23
i-13,33.620889140869565,72.99078330608695,23
jinnah colony,31.52182108695652,73.5770217826087,23
islam nagar,31.49311739130435,74.37016465217391,23
ashiana-e-quaid housing scheme,31.42544951478261,74.3840199947826,23
highcourt society,31.433039920000002,74.29197727130435,23
ali alam garden,31.586055217391305,74.46131913043477,23
koral chowk,33.604816,73.13028617391305,23
askari 1,33.581306,73.087962,23
pir sohawa,33.80392243478261,73.12434947826087,23
pia colony,33.60340022869565,73.01096948434784,23
baldia town,24.919918272727273,66.96932309090909,22
super highway,24.98962212318182,67.16537490318181,22
nishatabad,31.451514598181816,73.11721265681818,22
azam gardens,31.48790444863636,74.26561096727272,22
al hamad colony,31.570214,74.281473,22
falaknaz presidency,24.927051090909092,67.17399418181817,22
sir syed town,31.405152962727275,73.0779860040909,22
shadman colony,31.399812124999997,73.11508013409092,22
karachi motorway,24.998682363636362,67.213935,22
khayaban-e-tanveer,33.58468959090909,73.0990555,22
sajid garden,31.58398,74.461377,22
kohinoor town,31.415799,73.117983,21
cosmopolitan society,24.87972300761905,67.04187597571429,21
sitara sapna city,31.461569,73.063812,21
thanda pani,33.64907472428572,73.21956032761904,21
gulbahar colony,31.41537448285714,73.28314357904762,21
sheikh colony,31.411162743333335,73.04441490095238,21
al fayaz colony,31.395439,73.110849,21
dha city karachi,25.014338598095236,67.43234944619047,21
d type colony,31.38053657142857,73.08055042857143,21
daewoo road,31.470081999999998,73.068243,21
government employees cooperative housing society (gechs),31.465139193333336,74.31919302142857,21
garrison homes,31.566641619047623,74.44130495238095,21
al-hamd park,31.501251904761904,74.2575750952381,21
islamia park,31.527102860476194,74.07414558761904,21
mozang,31.553803814761903,74.31544968380952,21
quaid-e-azam colony,33.56451235714286,73.0211752547619,21
high court road,33.56323780952381,73.1021181904762,21
lda avenue,31.41277455,74.20927409999999,20
al jalil garden,31.5926567325,74.21458991099999,20
pcsir staff colony,31.43099275,74.2861566,20
royal avenue,33.657541,73.161258,20
lahore - islamabad motorway,31.61537157,74.21100615,20
lalkurti,33.582027950000004,73.0582219,20
tech society,31.4851642415,74.281737557,20
sheraz town,31.4263008525,74.289580065,20
suparco road,24.952536947000002,67.126785063,20
band road,31.5387285495,74.2739295425,20
